species,Common Name,Threat Status,Original Map Link,Family
Aegolius harrisii,,LC,,
Alectrurus tricolor,,VU,,
Amaurospiza moesta,,LC,,
Anabacerthia amaurotis,,LC,,
Anabazenops fuscus,,LC,,
Ara ararauna,,LC,,
Ara chloropterus,,LC,,
Ara macao,,LC,,
Ara severus,,LC,,
Ardea cinerea,,LC,,
Arremon flavirostris,,LC,,
Arremon semitorquatus,,LC,,
Arremon taciturnus,,LC,,
Asio stygius,,LC,,
Atalotriccus pilaris,,LC,,
Attila rufus,,LC,,
Attila spadiceus,,LC,,
Automolus leucophthalmus,,LC,,
Automolus ochrolaemus,,LC,,
Baryphthengus ruficapillus,,LC,,
Basileuterus culicivorus,,LC,,
Bubo virginianus,,LC,,
Buteo platypterus,,LC,,
Buteogallus urubitinga,,LC,,
Cacicus cela,,LC,,
Cacicus haemorrhous,,LC,,
Campephilus robustus,,LC,,
Camptostoma obsoletum,,LC,,
Campylorhynchus turdinus,,LC,,
Capsiempis flaveola,,LC,,
Catharus fuscescens,,LC,,
Catharus ustulatus,,LC,,
Cercomacra melanaria,,LC,,
Chiroxiphia caudata,,LC,,
Chiroxiphia pareola,,LC,,
Chlorophanes spiza,,LC,,
Chlorophonia cyanea,,LC,,
Chordeiles minor,,LC,,
Cichlocolaptes leucophrus,,LC,,
Claravis pretiosa,,LC,,
Clibanornis dendrocolaptoides,,LC,,
Coereba flaveola,,LC,,
Colonia colonus,,LC,,
Columba livia,,LC,,
Conirostrum speciosum,,LC,,
Conopophaga lineata,,LC,,
Conopophaga melanops,,LC,,
Contopus virens,,LC,,
Coragyps atratus,,LC,,
Corythopis delalandi,,LC,,
Crax fasciolata,,NT,,
Crypturellus cinereus,,LC,,
Crypturellus obsoletus,,LC,,
Crypturellus soui,,LC,,
Crypturellus tataupa,,LC,,
Crypturellus undulatus,,LC,,
Cyclarhis gujanensis,,LC,,
Dacnis cayana,,LC,,
Dendrexetastes rufigula,,LC,,
Dendrocincla fuliginosa,,LC,,
Dendrocincla turdina,,LC,,
Dendrocolaptes platyrostris,,LC,,
Dendroplex picus,,LC,,
Dichrozona cincta,,LC,,
Drymophila genei,,LC,,
Drymophila malura,,LC,,
Drymophila ochropyga,,NT,,
Drymophila squamata,,LC,,
Dysithamnus mentalis,,LC,,
Dysithamnus stictothorax,,NT,,
Dysithamnus xanthopterus,,LC,,
Elaenia chiriquensis,,LC,,
Eleoscytalopus indigoticus,,LC,,
Empidonax alnorum,,LC,,
Epinecrophylla leucophthalma,,LC,,
Eucometis penicillata,,LC,,
Euphonia chlorotica,,LC,,
Euphonia violacea,,LC,,
Formicarius analis,,LC,,
Formicarius colma,,LC,,
Galbula ruficauda,,LC,,
Gallinago undulata,,LC,,
Gallinula chloropus,,LC,,
Geotrygon montana,,LC,,
Glaucidium brasilianum,,LC,,
Grallaria guatimalensis,,EN,,
Grallaria varia,,LC,,
Habia rubica,,LC,,
Haplospiza unicolor,,LC,,
Heliothryx auritus,,LC,,
Hemithraupis guira,,LC,,
Hemithraupis ruficapilla,,LC,,
Hemitriccus diops,,LC,,
Hemitriccus furcatus,,LC,,
Hemitriccus griseipectus,,LC,,
Hemitriccus margaritaceiventer,,LC,,
Hemitriccus minor,,LC,,
Hemitriccus nidipendulus,,LC,,
Hemitriccus orbitatus,,NT,,
Herpetotheres cachinnans,,LC,,
Herpsilochmus atricapillus,,LC,,
Herpsilochmus rufimarginatus,,LC,,
Hirundinea ferruginea,,LC,,
Hydropsalis torquata,,LC,,
Hylocharis chrysura,,LC,,
Hylophilus amaurocephalus,,LC,,
Hylophilus thoracicus,,LC,,
Hylophylax naevius,,LC,,
Hypoedaleus guttatus,,LC,,
Ilicura militaris,,LC,,
Jacamerops aureus,,LC,,
Laterallus melanophaius,,LC,,
Lathrotriccus euleri,,LC,,
Legatus leucophaius,,LC,,
Lepidocolaptes souleyetii,,LC,,
Leptotila rufaxilla,,LC,,
Leptotila verreauxi,,LC,,
Lipaugus vociferans,,LC,,
Lochmias nematura,,LC,,
Lophostrix cristata,,LC,,
Lurocalis semitorquatus,,LC,,
Machaeropterus pyrocephalus,,LC,,
Mackenziaena severa,,LC,,
Malacoptila striata,,LC,,
Manacus manacus,,LC,,
Megaceryle torquata,,LC,,
Megarynchus pitangua,,LC,,
Megascops atricapilla,,LC,,
Megascops choliba,,LC,,
Megascops sanctaecatarinae,,LC,,
Megaxenops parnaguae,,LC,,
Melanerpes flavifrons,,LC,,
Merulaxis ater,,LC,,
Micrastur ruficollis,,LC,,
Micrastur semitorquatus,,LC,,
Milvago chimachima,,LC,,
Mionectes oleagineus,,LC,,
Mionectes rufiventris,,LC,,
Mitrospingus oleagineus,,LC,,
Momotus momota,,LC,,
Myiarchus ferox,,LC,,
Myiarchus swainsoni,,LC,,
Myiarchus tuberculifer,,LC,,
Myiarchus tyrannulus,,LC,,
Myiobius barbatus,,LC,,
Myioborus miniatus,,LC,,
Myiopagis caniceps,,LC,,
Myiopagis viridicata,,LC,,
Myiophobus fasciatus,,LC,,
Myiornis auricularis,,LC,,
Myiozetetes similis,,LC,,
Myrmornis torquata,,LC,,
Myrmotherula axillaris,,LC,,
Neopelma pallescens,,LC,,
Neopipo cinnamomea,,LC,,
Nothocrax urumutum,,LC,,
Numenius phaeopus,,LC,,
Nyctibius griseus,,LC,,
Nycticorax nycticorax,,LC,,
Nyctidromus albicollis,,LC,,
Nyctiphrynus ocellatus,,LC,,
Orchesticus abeillei,,LC,,
Pachyramphus castaneus,,LC,,
Pachyramphus polychopterus,,LC,,
Pandion haliaetus,,LC,,
Patagioenas plumbea,,LC,,
Patagioenas speciosa,,LC,,
Penelope obscura,,LC,,
Penelope superciliaris,,NT,,
Phaethornis ruber,,LC,,
Philydor atricapillus,,LC,,
Phlegopsis nigromaculata,,LC,,
Phyllomyias fasciatus,,LC,,
Phyllomyias griseiceps,,LC,,
Phylloscartes ventralis,,LC,,
Piaya cayana,,LC,,
Picumnus cirratus,,LC,,
Picumnus temminckii,,LC,,
Pionus maximiliani,,LC,,
Pionus menstruus,,LC,,
Piranga leucoptera,,LC,,
Piranga olivacea,,LC,,
Pitangus sulphuratus,,LC,,
Platyrinchus coronatus,,LC,,
Platyrinchus mystaceus,,LC,,
Poecilotriccus plumbeiceps,,LC,,
Procnias nudicollis,,NT,,
Psarocolius angustifrons,,LC,,
Pulsatrix koeniswaldiana,,LC,,
Pulsatrix perspicillata,,LC,,
Pygochelidon cyanoleuca,,LC,,
Pyriglena leucoptera,,LC,,
Pyroderus scutatus,,LC,,
Ramphastos dicolorus,,LC,,
Ramphastos toco,,LC,,
Ramphocaenus melanurus,,LC,,
Ramphocelus carbo,,LC,,
Ramphotrigon megacephalum,,LC,,
Saltator similis,,LC,,
Schiffornis virescens,,LC,,
Sclerurus scansor,,LC,,
Sirystes sibilator,,LC,,
Sittasomus griseicapillus,,LC,,
