species,BirdNET,CustomModel,Perch ,Max
Actitis macularius,1,0,0,1
Aegolius harrisii,60,0,352,352
Alectrurus tricolor,1,0,1,1
Amaurospiza moesta,1,0,1,1
Amazilia versicolor,0,3,0,3
Amazona aestiva,0,0,1,1
Amazona farinosa,1,0,0,1
Amazona vinacea,0,1,0,1
Ammodramus aurifrons,6,0,0,6
Ammodramus humeralis,1,0,0,1
Anabacerthia amaurotis,3,4,0,4
Anabazenops fuscus,0,2,1,2
Anhima cornuta,0,1,0,1
Anodorhynchus hyacinthinus,0,1,0,1
Anthracothorax nigricollis,0,7,0,7
Antilophia bokermanni,0,5,0,5
Ara ararauna,1,1,0,1
Ara chloropterus,1,1,0,1
Ara macao,1,1,0,1
Ara severus,1,5,0,5
Aramides saracura,0,2,0,2
Aratinga leucophthalma,0,239,0,239
Ardea cinerea,4,0,11,11
Ardea cocoi,0,2,0,2
Ardea purpurea,0,0,15,15
Arremon flavirostris,114,316,81,316
Arremon franciscanus,0,1,0,1
Arremon semitorquatus,17,39,1,39
Arremon taciturnus,15,78,36,78
Arremonops conirostris,0,0,1,1
Asio flammeus,0,0,1,1
Asio stygius,1,0,1,1
Atalotriccus pilaris,1,0,1,1
Athene cunicularia,0,1,0,1
Attila rufus,1,2,0,2
Attila spadiceus,1,0,4,4
Automolus leucophthalmus,5,10,13,13
Automolus ochrolaemus,0,2,1,2
Baryphthengus martii,5,0,0,5
Baryphthengus ruficapillus,16,9,1,16
Basileuterus culicivorus,194,407,332,407
Basileuterus flaveolus,0,15,0,15
Basileuterus leucophrys,0,1,0,1
Batara cinerea,0,4,0,4
Brotogeris tirica,0,1,0,1
Brotogeris versicolurus,0,1,0,1
Bubo virginianus,96,45,1590,1590
Busarellus nigricollis,0,0,3,3
Buteo platypterus,3,0,11,11
Buteogallus urubitinga,0,1,6,6
Cacicus cela,1,20,0,20
Cacicus haemorrhous,3,35,3,35
Campephilus melanoleucos,0,1,0,1
Campephilus robustus,2,5,19,19
Campephilus rubricollis,0,2,0,2
Camptostoma obsoletum,10,14,53,53
Campylorhamphus falcularius,0,0,2,2
Campylorhynchus turdinus,6,5,0,6
Capsiempis flaveola,0,1,15,15
Caracara plancus,0,3,0,3
Carpornis cucullata,0,0,5,5
Carpornis melanocephala,1,0,0,1
Casiornis rufus,0,0,1,1
Cathartes aura,0,0,9,9
Catharus fuscescens,1,0,16,16
Catharus ustulatus,3,0,45,45
Celeus flavescens,0,1,0,1
Cercomacra melanaria,1,2,0,2
Chaetura cinereiventris,0,0,1,1
Chaetura spinicaudus,0,0,5,5
Chamaeza campanisona,2,0,0,2
Chamaeza meruloides,1,0,0,1
Chamaeza ruficauda,0,0,2,2
Chelidoptera tenebrosa,0,1,0,1
Chiroxiphia caudata,1190,1056,648,1190
Chiroxiphia pareola,2,3,6,6
Chlorophanes spiza,2,1,4,4
Chlorophonia cyanea,0,1,1,1
Chlorostilbon lucidus,0,0,3,3
Chondrohierax uncinatus,0,0,1,1
Chordeiles minor,4,0,2,4
Chrysuronia oenone,1,0,0,1
Cichlocolaptes leucophrus,7,10,1,10
Cissopis leverianus,0,0,1,1
Claravis pretiosa,2,5,1,5
Clibanornis dendrocolaptoides,2,2,0,2
Cnemotriccus fuscatus,0,0,2,2
Coccycua minuta,0,0,1,1
Coereba flaveola,39,1,160,160
Colaptes punctigula,0,0,1,1
Colaptes rubiginosus,1,0,0,1
Colibri delphinae,1,0,0,1
Colonia colonus,32,23,55,55
Columba livia,4,1,1,4
Columbina talpacoti,1,0,0,1
Conirostrum speciosum,11,30,14,30
Conopias trivirgatus,0,0,1,1
Conopophaga cearae,0,0,3,3
Conopophaga lineata,26,29,27,29
Conopophaga melanogaster,0,1,0,1
Conopophaga melanops,2,4,1,4
Conopophaga peruviana,1,0,0,1
Conopophaga roberti,0,0,1,1
Contopus cinereus,0,1,0,1
Contopus virens,10,0,65,65
Coragyps atratus,1,0,1,1
Corapipo gutturalis,0,0,1,1
Corythopis delalandi,15,128,174,174
Coscoroba coscoroba,0,2,0,2
Cranioleuca demissa,0,0,1,1
Cranioleuca obsoleta,0,0,1,1
Crax fasciolata,1,22,19,22
Crotophaga major,6,0,0,6
Crypturellus cinereus,1,1,0,1
Crypturellus noctivagus,0,6,0,6
Crypturellus obsoletus,44,26,53,53
Crypturellus soui,8,17,5,17
Crypturellus tataupa,0,1,1,1
Crypturellus undulatus,8,0,1,8
Cyanocorax chrysops,0,27,0,27
Cyanocorax violaceus,0,0,1,1
Cyclarhis gujanensis,0,15,2,15
Dacnis cayana,0,9,67,67
Dendrexetastes rufigula,0,11,2,11
Dendrocincla fuliginosa,2,1,1,2
Dendrocincla merula,0,0,1,1
Dendrocincla turdina,3,2,0,3
Dendrocolaptes certhia,0,3,0,3
Dendrocolaptes picumnus,2,0,0,2
Dendrocolaptes platyrostris,2,5,2442,2442
Dendroplex picus,1,0,7,7
Dichrozona cincta,1,0,1,1
Donacobius atricapilla,0,2,0,2
Donacospiza albifrons,0,0,1,1
Drymophila ferruginea,0,1,0,1
Drymophila genei,1,3,0,3
Drymophila malura,2,4,1,4
Drymophila ochropyga,417,303,371,417
