species,Common Name,Threat Status,Original Map Link,Family
Rhea americana,Greater Rhea,NT,https://mol.org/species/map/Rhea americana,Rheidae
Crypturellus obsoletus,Brown Tinamou,LC,https://mol.org/species/map/Crypturellus obsoletus,Tinamidae
Crypturellus tataupa,Tataupa Tinamou,LC,https://mol.org/species/map/Crypturellus tataupa,Tinamidae
Tinamus solitarius,Solitary Tinamou,NT,https://mol.org/species/map/Tinamus solitarius,Tinamidae
Nothura minor,Lesser Nothura,VU,https://mol.org/species/map/Nothura minor,Tinamidae
Rhynchotus rufescens,Red-Winged Tinamou,LC,https://mol.org/species/map/Rhynchotus rufescens,Tinamidae
Crypturellus noctivagus,Yellow-Legged Tinamou,NT,https://mol.org/species/map/Crypturellus noctivagus,Tinamidae
Nothura maculosa,Spotted Nothura,LC,https://mol.org/species/map/Nothura maculosa,Tinamidae
Crypturellus parvirostris,Small-Billed Tinamou,LC,https://mol.org/species/map/Crypturellus parvirostris,Tinamidae
Crypturellus soui,Little Tinamou,LC,https://mol.org/species/map/Crypturellus soui,Tinamidae
Anhima cornuta,Horned Screamer,LC,https://mol.org/species/map/Anhima cornuta,Anhimidae
Sarkidiornis melanotos,Comb Duck,LC,https://mol.org/species/map/Sarkidiornis melanotos,Anatidae
Nomonyx dominicus,Masked Duck,LC,https://mol.org/species/map/Nomonyx dominicus,Anatidae
Anser anser,Greylag Goose,LC,https://mol.org/species/map/Anser anser,Anatidae
Amazonetta brasiliensis,Brazilian Teal,LC,https://mol.org/species/map/Amazonetta brasiliensis,Anatidae
Mergus octosetaceus,Brazilian Merganser,CR,https://mol.org/species/map/Mergus octosetaceus,Anatidae
Cairina moschata,Muscovy Duck,LC,https://mol.org/species/map/Cairina moschata,Anatidae
Netta erythrophthalma,Southern Pochard,LC,https://mol.org/species/map/Netta erythrophthalma,Anatidae
Dendrocygna viduata,White-Faced Whistling Duck,LC,https://mol.org/species/map/Dendrocygna viduata,Anatidae
Dendrocygna autumnalis,Black-Bellied Whistling-Duck,LC,https://mol.org/species/map/Dendrocygna autumnalis,Anatidae
Crax blumenbachii,Red-Billed Curassow,EN,https://mol.org/species/map/Crax blumenbachii,Cracidae
Penelope superciliaris,Rusty-Margined Guan,NT,https://mol.org/species/map/Penelope superciliaris,Cracidae
